,Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD),category
370,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"5,350",Watches
371,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,"18,500",Watches
372,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,43.0,15.0,22.0,Black,Sapphire,Date,72 hours,"4,950",Watches
373,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,White,Sapphire,"Chronograph, Date",50 hours,"7,900",Watches
375,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72 hours,"16,000",Watches
376,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"12,800",Watches
377,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.78,20.0,Silver,Sapphire,"Date, Power Reserve Indicator",70 hours,"8,500",Watches
378,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,"Date, Power Reserve Indicator",42 hours,"8,500",Watches
379,Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,"Date, Sub Seconds",72 hours,"7,500",Watches
380,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,"39,000",Watches
381,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37.0,9.8,20.0,Blue,Sapphire,Date,40 hours,"19,500",Watches
382,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Date, Chronograph",72 hours,"13,000",Watches
383,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,White,Sapphire,"Date, Chronograph, Moon Phase",50 hours,"7,500",Watches
384,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,"Date, World Time",60 hours,"23,000",Watches
385,Breguet,Classique,18K White Gold,Leather,Manual,30 meters,40.0,6.95,20.0,Silver,Sapphire,None,50 hours,"24,000",Watches
386,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,"Date, Power Reserve Indicator",120 hours,"11,000",Watches
387,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.45,22.0,Black,Sapphire,"Date, Chronograph",42 hours,"6,000",Watches
388,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.0,20.0,Silver,Sapphire,Date,70 hours,"7,500",Watches
389,Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.7,20.0,Black,Sapphire,"Chronograph, Tachymeter",60 hours,"6,500",Watches
390,Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,13.0,21.0,Blue,Sapphire,Date,38 hours,"3,700",Watches
391,Breitling,Superocean,Stainless Steel,Rubber,Automatic,200 meters,44.0,14.2,22.0,Black,Sapphire,Date,42 hours,"4,500",Watches
392,Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42.0,13.0,22.0,Silver,Sapphire,Date,42 hours,"7,500",Watches
393,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,"Date, Power Reserve",70 hours,"6,000",Watches
394,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,Dual Time Zone,70 hours,"9,500",Watches
395,Omega,Constellation,Stainless Steel,Stainless Steel,Automatic,100 meters,39.0,10.6,20.0,Black,Sapphire,Date,50 hours,"4,800",Watches
396,Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.5,22.0,Blue,Sapphire,Chronograph,40 hours,"5,200",Watches
397,Breitling,Chronomat,Stainless Steel,Stainless Steel,Automatic,200 meters,44.0,16.95,22.0,Blue,Sapphire,"Chronograph, Date",70 hours,"6,900",Watches
398,Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,35.1,8.83,18.0,Silver,Sapphire,Date,42 hours,"5,500",Watches
399,Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.7,20.0,White,Sapphire,Date,70 hours,"8,000",Watches
400,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,"40,000",Watches
401,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37.0,9.0,16.0,Blue,Sapphire,Date,60 hours,"18,000",Watches
402,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,22.0,White,Sapphire,Date,60 hours,"7,500",Watches
403,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,"14,000",Watches
404,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"14,000",Watches
405,Breguet,Classique,Rose Gold,Leather,Manual,30 meters,40.0,6.8,20.0,Silver,Sapphire,None,55 hours,"25,000",Watches
406,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.8,20.0,Silver,Sapphire,None,70 hours,"6,500",Watches
407,Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50 hours,"7,000",Watches
408,Bulgari,Octo Finissimo,Titanium,Titanium,Automatic,30 meters,40.0,5.15,28.0,Black,Sapphire,None,55 hours,"10,000",Watches
409,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"9,000",Watches
410,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.1,20.0,Black,Sapphire,"GMT, Date",70 hours,"9,450",Watches
411,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21.0,Blue,Sapphire,Date,55 hours,"29,800",Watches
412,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,"Date, Chronograph",50 hours,"22,300",Watches
413,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.6,22.0,Black,Sapphire,Date,42 hours,"8,100",Watches
414,IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40.0,10.8,20.0,Black,Sapphire,Date,42 hours,"3,900",Watches
415,A. Lange & Söhne,Saxonia,Rose Gold,Leather,Manual,30 meters,38.5,7.8,18.0,Silver,Sapphire,None,72 hours,"23,300",Watches
416,Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,Date,65 hours,"23,200",Watches
417,Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.4,22.0,Black,Sapphire,"Date, Chronograph, Tachymeter",42 hours,"6,300",Watches
418,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,White,Sapphire,"Date, Chronograph",50 hours,"5,600",Watches
419,Panerai,Luminor,Titanium,Leather,Manual,100 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,"6,900",Watches
420,Rolex,Daytona,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.4,20.0,White,Sapphire,Chronograph,72 hours,"13,500",Watches
421,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"4,500",Watches
422,Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,"6,600",Watches
423,Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200 meters,42.0,14.35,20.0,Black,Sapphire,Date,38 hours,"4,400",Watches
424,Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.0,20.0,Blue,Sapphire,Date,38 hours,"2,800",Watches
425,Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,40.0,7.45,20.0,Silver,Sapphire,None,43 hours,"6,300",Watches
426,Patek Philippe,Calatrava,18k Rose Gold,Leather,Manual,30 meters,38.0,7.68,19.0,White,Sapphire,None,44 hours,"22,900",Watches
427,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,"22,500",Watches
428,Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50 hours,"6,900",Watches
429,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Black,Sapphire,"Date, World Time",60 hours,"20,200",Watches
430,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.6,20.0,Silver,Sapphire,None,44 hours,"7,600",Watches
431,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,Date,72 hours,"6,500",Watches
432,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,"34,000",Watches
433,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,"22,000",Watches
434,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,White,Sapphire,Date,168 hours,"9,500",Watches
435,Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,41.0,14.6,20.0,Black,Sapphire,Chronograph,42 hours,"14,000",Watches
436,Breguet,Classique,18k Rose Gold,Leather,Manual,30 meters,39.0,10.2,22.0,Silver,Sapphire,None,40 hours,"26,000",Watches
437,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.5,20.0,Silver,Sapphire,Chronograph,50 hours,"7,000",Watches
438,Blancpain,Fifty Fathoms,Stainless Steel,NATO strap,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,None,120 hours,"10,000",Watches
439,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,"11,500",Watches
440,Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100 meters,42.2,12.6,20.0,Blue,Sapphire,Date,60 hours,"7,500",Watches
441,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Silver,Sapphire,Date,60 hours,"20,000",Watches
442,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.0,8.3,20.0,Blue,Sapphire,Date,45 hours,"26,000",Watches
443,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Grey,Sapphire,Date,60 hours,"17,000",Watches
444,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,White,Sapphire,Chronograph,46 hours,"7,800",Watches
445,A. Lange & Söhne,Saxonia,18k Rose Gold,Leather,Manual,30 meters,37.0,7.5,18.0,Silver,Sapphire,None,45 hours,"17,500",Watches
446,Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,42.5,13.7,22.0,Blue,Sapphire,Date,40 hours,"20,000",Watches
447,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,26.0,Black,Sapphire,Chronograph,46 hours,"12,000",Watches
448,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Silver,Sapphire,Chronograph,50 hours,"7,500",Watches
449,Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"14,000",Watches
450,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,45.0,10.95,22.0,Blue,Sapphire,None,42 hours,"9,500",Watches
451,Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38.0,8.25,20.0,Silver,Sapphire,None,40 hours,"22,000",Watches
452,Piaget,Polo,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,9.4,22.0,Blue,Sapphire,Date,44 hours,"10,500",Watches
453,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,"29,000",Watches
454,Audemars Piguet,Royal Oak,Rose Gold,Leather,Automatic,50 meters,37.0,9.8,20.0,Black,Sapphire,Date,60 hours,"38,500",Watches
455,Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,9.85,22.0,Blue,Sapphire,None,42 hours,"7,500",Watches
456,Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,39.0,10.2,20.0,Silver,Sapphire,None,65 hours,"25,000",Watches
457,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,15.3,20.0,Black,Sapphire,Date,42 hours,"5,900",Watches
458,Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"12,000",Watches
459,Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50 hours,"6,200",Watches
460,Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42.0,13.07,20.0,Black,Sapphire,Chronograph,48 hours,"6,800",Watches
461,Vacheron Constantin,Patrimony,White Gold,Leather,Manual,30 meters,40.0,6.79,20.0,Silver,Sapphire,None,65 hours,"28,000",Watches
462,Panerai,Luminor,Titanium,Leather,Automatic,300 meters,44.0,16.15,24.0,Black,Sapphire,None,72 hours,"9,500",Watches
463,Tudor,Black Bay,Stainless Steel,NATO Strap,Automatic,200 meters,41.0,11.9,22.0,Black,Sapphire,None,70 hours,"3,500",Watches
464,Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,42.0,14.5,22.0,Black,Sapphire,Date,50 hours,"7,200",Watches
465,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,None,60 hours,"7,900",Watches
466,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.0,8.3,22.0,Blue,Sapphire,Date,45 hours,"36,000",Watches
467,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"28,500",Watches
468,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,"15,000",Watches
469,Breguet,Classique,18K Yellow Gold,Leather,Automatic,30 meters,39.0,10.2,20.0,Silver,Sapphire,Date,38 hours,"26,000",Watches
470,Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,13.5,22.0,Blue,Sapphire,Chronograph,50 hours,"6,500",Watches
471,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,20.0,Blue,Sapphire,Date,54 hours,"12,000",Watches
472,Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,"18,500",Watches
473,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,11.48,23.0,Black,Sapphire,None,68 hours,"9,500",Watches
474,Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,39.0,9.9,19.0,Silver,Sapphire,Date,42 hours,"3,500",Watches
475,Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,"9,900",Watches
476,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"4,300",Watches
477,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20.0,White,Sapphire,None,60 hours,"7,500",Watches
478,Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,"15,500",Watches
479,Panerai,Luminor Marina,Stainless Steel,Leather,Manual,300 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,"5,200",Watches
480,Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,37.0,8.5,18.0,White,Sapphire,Date,45 hours,"25,000",Watches
481,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,"19,500",Watches
482,Vacheron Constantin,Patrimony,Rose Gold,Leather,Automatic,30 meters,40.0,6.79,20.0,White,Sapphire,None,40 hours,"15,000",Watches
483,Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,None,120 hours,"14,000",Watches
484,Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Blue,Sapphire,None,54 hours,"7,500",Watches
485,Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,11.48,22.0,White,Sapphire,None,68 hours,"8,500",Watches
486,Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36.0,12.0,20.0,Blue,Sapphire,Date,70 hours,"7,650",Watches
487,Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,"5,200",Watches
488,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,"Date, Chronograph",55 hours,"67,000",Watches
489,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,"Date, Power Reserve",60 hours,"25,000",Watches
490,Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,36.6,12.05,18.0,Silver,Sapphire,Date,42 hours,"4,700",Watches
491,IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,Blue,Sapphire,None,60 hours,"9,100",Watches
492,Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,"8,200",Watches
493,Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"12,500",Watches
494,Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,39.0,9.9,22.0,White,Sapphire,"Date, Moonphase",65 hours,"27,900",Watches
495,Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,"Chronograph, Date",42 hours,"6,500",Watches
496,Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,44.3,13.1,22.0,Black,Hardlex,"Date, GMT",50 hours,"1,200",Watches
497,Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,14.75,22.0,Black,Sapphire,None,70 hours,"3,800",Watches
498,IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,39.0,10.86,20.0,Black,Sapphire,Date,42 hours,"4,500",Watches
499,Panerai,Luminor Marina,Titanium,Rubber,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,None,72 hours,"9,500",Watches
500,Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,"35,000",Watches
501,Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,"24,000",Watches
502,Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,38.5,8.25,20.0,White,Sapphire,Date,38 hours,"21,500",Watches
503,Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,"13,500",Watches
504,Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20.0,Blue,Sapphire,Date,64 hours,"1,800",Watches
505,Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Blue,Sapphire,Date,40 hours,"19,000",Watches
506,Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50 meters,40.0,10.6,20.0,Silver,Sapphire,Date,38 hours,"1,200",Watches
